Actor_User_Luid,Document_Index_generated,Endpoint_Name,Event_Outcome,Event_Outcome_Reason,Event_Time,Initiating_User_Id,Initiating_User_Luid,initiatingUserEmail,licensingRoleName,Ip_Address,Method,Referrer,Request_Id,Request_Uri,Service_Name,Session_Id,Site_Luid,Site_Name,Site_Uri,Trace_Uuid,User_Agent,View_Id,View_Name,View_Repo_Url,Vizql_Session_Id,Workbook_Id,Workbook_Name,Duration,Number_of_Records_per_vizqlserver,Workbook_Revision
21a956c0-6d23-4f00-89bf-41c299712904,36656,/dataserver/query,Succeeded,Permission Denied,2025-03-22T11:00:25,6,d6f280a7-6fc0-4b3c-ac3f-e80906ecf32e,robertsheppard@hotmail.com,Creator,193.203.244.252,PUT,http://pena.org/,9ff2e914-a383-4cb0-9807-c3db5f099ed2,explore,vizqlserver,e342462e-3211-45ee-a4ed-4359843aac3c,8e308ca6-a56a-4ae2-bd95-25c456b7f797,park.net,official-positive,c18df6dc-43b8-49c1-8650-fc47df72904c,"Mozilla/5.0 (iPad; CPU iPad OS 12_4_8 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/12.0i3652.0 Mobile/15I836 Safari/531.2",7e3e32ad-fcf6-44f2-819d-0925df771e73,Expanded optimal concept,http://www.foster-williamson.com/author.php,b5c40c6f-13f0-49aa-acfd-dcf30a055fac,ee09a0e8-dcef-4249-90f5-0dcd16aeb619,Matrix Leading-Edge Markets,8064,15,3
e4031f4c-c259-4a03-9b67-0fe4e16efee7,72991,/dataserver/query,Failed,,2025-03-28T03:04:54,80,edbdaede-0388-460b-82d9-f52511512856,jordan70@chen.com,Creator,76.14.76.208,GET,https://www.sanchez.com/,38bc0df6-746d-45f1-b7b8-d672b85d2333,main/posts,vizqlserver,794af560-ab47-4ca2-a730-4ccc6af98f92,96cf6dfb-1d60-4674-908f-26299330ae30,kennedy.com,the-none-accept,535c7db8-7ef3-4cd2-9334-eb402526806d,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/21.0.809.0 Safari/533.2",7acc68bf-6fd8-4aa8-9db8-42c23a052ad9,Progressive analyzing capacity,https://www.baker.info/categories/privacy.html,40495852-df46-4c33-8e79-2cdcd7382f9d,53cbb7af-785d-4765-a69d-bab12038c0a1,Architect Dot-Com Vortals,7025,33,11
ba9c5323-5148-4398-b3d1-a69c8e7fc3b0,61138,/vizql/welcome,Succeeded,Timeout,2025-03-08T09:05:43,15,6863fa15-71cf-497e-b779-4fea52ef310e,xdeleon@mayer.com,Viewer,173.14.188.194,PUT,http://www.rios.com/,1201e53b-322c-4bb3-8af9-9fc095491e79,search,vizqlserver,37bd1091-4497-4be7-8335-b8b3c4470c7a,c98fc756-45e9-4ca4-b530-bd3ec8b0d4a9,lawson-allen.org,common-executive,79dd20bb-75d9-4a8f-a2e3-e52e100573d5,Mozilla/5.0 (Windows NT 6.1; ms-MY; rv:1.9.1.20) Gecko/2015-02-22 12:46:09 Firefox/3.6.8,31b14e95-83c3-42fb-af3c-7dae96e0386b,Function-based explicit middleware,https://moore.com/homepage/,150237f3-304c-494b-9786-d9493c090f03,25f8f76b-9648-4519-9a60-8d800164d9bc,Evolve Value-Added Communities,7300,18,15
fe979633-4892-437f-aea5-683b8190e648,61298,/dataserver/query,Failed,Permission Denied,2025-03-29T12:19:44,97,01b970da-6976-4e32-ba7f-3f42daaf57a3,grantkristen@yahoo.com,Explorer,205.83.163.118,GET,https://www.white.com/index/,45426056-5bc9-4b6b-bd98-f7ca1eecc148,wp-content/wp-content/posts,backgrounder,1f244def-2039-46eb-a99f-f4fda9bbed57,9e948480-65a1-4b5b-ab73-15d6ef3154a9,meyers.com,weight-marriage,e005ec9a-8e99-48a2-ad7a-720c5edd71cc,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) CriOS/24.0.825.0 Mobile/27Q671 Safari/535.1",84852af8-354f-4d8b-ae4b-19b1227d8f95,Virtual 24/7 definition,https://phillips-rodriguez.com/app/category/,53a10a29-3348-4ced-8611-f1087c4843c3,ef9daf91-96d7-4fc6-8632-79b6954987f2,Transition Strategic Partnerships,4103,82,12
8cb100e2-b0ed-49c1-84c8-d9e57596f69c,33427,/dataserver/query,Failed,Invalid Request,2025-03-12T15:35:16,31,ed07edad-84b0-423f-a3da-42263265d8d8,brian32@beck.net,Creator,166.188.120.100,PUT,http://www.carlson.com/categories/main/tags/index/,f4044fc1-896b-4af7-aa5b-69a69d87c8cf,app/tag,vizqlserver,804c219a-26e7-40d0-b699-6a43a77bc74b,78fb7bb9-50f3-408e-ab74-0247b5692fca,brown.info,look-game-lead-rise,db0f01e6-4e0e-410a-8cd2-9cafe76a37e3,"Mozilla/5.0 (Linux; Android 6.0) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/19.0.897.0 Safari/533.2",f306e6fe-6924-4d54-84eb-b899e4c483b7,Digitized systematic task-force,https://www.allen.info/category/category.html,231c7bfa-eeca-42e2-9ba7-b5f20792671a,6f69b098-e2ac-4e7f-ae52-41e44be2189d,Re-Intermediate E-Business Web-Readiness,2695,23,10
c4b7ebff-dc1c-4c31-800b-5a9bca91d5ed,34873,/vizql/welcome,Failed,Permission Denied,2025-03-20T15:04:39,97,44cfb46e-e25b-4c18-8e09-48e666a5bb65,michael03@yahoo.com,Creator,62.81.224.166,PUT,http://www.garrison.com/category/list/homepage/,aac41e2a-57b4-4c5b-922a-6add9304d824,list,vizqlserver,cbde1ec2-97df-41df-bfab-bafcdc6818fe,d1110967-0e17-484d-ae95-4da6bf58067e,butler-arnold.info,turn-represent-rest,00c86b7b-43e0-4d1d-98d3-cea10a7a82ea,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/11.8o8532.0 Mobile/01J192 Safari/531.2",1cd8d8d9-7241-464c-b81b-c7560b5ba53a,Team-oriented interactive data-warehouse,http://www.hall-skinner.org/search/category.html,944f4700-8adf-4406-ae06-a0fc27924737,f05c606b-ae9a-41a2-89a1-bea1e97ff3de,Productize Back-End Initiatives,1328,52,1
c03e7f17-d663-4ed2-85a2-509506427b7f,77626,/workbook/load,Failed,Timeout,2025-03-27T22:53:30,99,c442e531-fef5-48dc-b291-ffcb84bad431,brad27@lang-nichols.org,Creator,213.48.7.3,POST,http://bradley-adams.biz/posts/list/search/main.asp,f77609ce-8204-44b7-9f6c-db3b1d728357,category,dataserver,93ce53f0-d9b5-4802-815c-1f829c43efa6,e498b6e5-44fd-424d-a83b-5232644ec7e6,sanchez-bush.com,single-result-gas,9919b668-4a86-46e4-9f8f-6916f61dd58a,"Mozilla/5.0 (Linux; Android 3.2.6) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/53.0.851.0 Safari/535.1",3a95b022-4640-40c8-8cba-b6406d6729f8,Stand-alone coherent matrix,https://sharp-howard.com/app/terms.html,3e0e9c1e-676b-46ea-a2ba-b7e49ebb7c84,3c08c7c0-87f5-4d1b-a1c3-63ff69aeeefd,Monetize Sticky Metrics,9998,36,13
fb497f3f-ef79-41cb-ba78-da9aee22fb05,33098,/vizql/welcome,Succeeded,Invalid Request,2025-03-24T12:54:23,67,b1348481-0bb5-47e7-9a8d-2a0dd32869b4,ecannon@miles-watkins.net,Creator,163.209.175.13,PUT,http://hart-hubbard.com/tags/tag/terms.html,956dcb5b-38b6-486a-8d35-cf26ec005515,category/tag,backgrounder,142df9c7-59be-4551-91ef-70f70ecd45e0,1432249b-db6a-4b1e-af35-b047256c4c8f,white.com,seven-act-moment,2548a9b7-f562-4ad2-94a9-4c5911edd84b,Opera/8.82.(X11; Linux i686; doi-IN) Presto/2.9.170 Version/10.00,71e1e3aa-fc9c-4e5e-8147-df4972f8006e,Implemented leadingedge product,http://www.foley.com/,26400496-94d7-4756-80c4-67d1fdaf53e2,438a6020-4c0f-437e-ae6f-e6fb3b9fcb18,Benchmark Magnetic Deliverables,3626,24,6
9745c13c-d604-4025-943c-271868646a55,32980,/dataserver/query,Failed,Permission Denied,2025-03-26T22:44:06,27,ecf1d47d-fa66-4b1d-abfb-43ddf829a55c,julie28@hotmail.com,Creator,207.49.73.60,POST,http://lee.org/index/,b5666990-34d7-45be-9897-f729dbac7dd9,posts/wp-content/search,vizqlserver,66e79b3f-20c9-40fc-895e-8427b1d42de2,f5a714d2-54ef-4d48-82e6-bd435f3e3944,malone.com,common-especially,756c4082-fac9-4871-ad25-cf2365c838de,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.0),9f941ca3-7ca0-43f6-a992-3361d53a44c8,Face-to-face tangible Graphical User Interface,https://fisher-nguyen.com/wp-content/home.htm,a4a93b69-0140-4817-a7eb-1f232f392262,6fa5a5b3-3b22-4fc0-8ff1-3a42ceca5b95,Leverage Collaborative E-Tailers,7003,71,3
ebf0d048-93bb-49bb-a670-9767c9bc1cdf,20625,/dataserver/query,Failed,Invalid Request,2025-03-11T10:51:35,63,365a3723-35a0-4642-957a-8d2ce98d1fed,vpetersen@briggs.com,Viewer,59.21.122.187,GET,http://white.com/,603440aa-f890-4ea2-a058-b7acaaea340a,posts/app/tag,backgrounder,e66fa76e-2550-4e98-897a-1c01f8cffe54,461170d1-b746-40a6-be97-015c08897d1a,bautista.com,community-doctor,4ac7ed64-7472-42ad-aa0a-d43e6c7b548b,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_1; rv:1.9.2.20) Gecko/2016-11-12 07:48:07 Firefox/3.6.12,14d5dc26-1ee4-48f5-82d9-45be94d3a6b1,Diverse systemic flexibility,https://www.francis.com/,b0800503-3c94-45b7-8d5f-308ec9d1b353,5942fc15-297c-4752-b688-1b8738a7c80f,Architect Extensible Action-Items,2192,2,2
